date,value
2000-01-01,10000.0
2000-01-26,10000.0
2000-02-04,10000.0
2000-02-24,10000.0
2000-02-28,10000.0
2000-02-29,10000.0
2000-03-01,10000.0
2000-03-02,10024.75
2000-03-09,10123.75
2000-03-21,10123.75
2000-03-30,10173.25
2000-04-02,10247.5
2000-04-04,10333.63
2000-04-17,10333.63
2000-04-23,10370.755
2000-04-24,10370.755
2000-04-25,10618.255
2000-05-01,10618.255
2000-05-21,10667.755
2000-05-25,10757.845
2000-06-05,10757.845
2000-06-06,10850.6575
2000-07-11,11048.6575
2000-07-31,11048.6575
2000-08-01,11048.6575
2000-08-10,11048.6575
2000-08-18,11048.6575
2000-08-21,11048.6575
2000-09-03,11048.6575
2000-09-05,11209.5325
2000-09-08,11209.5325
2000-09-13,11209.5325
2000-09-21,11309.5225
2000-09-24,12101.5225
2000-09-26,12101.5225
2000-09-29,12101.5225
2000-10-11,12231.4105
2000-10-23,12231.4105
2000-10-27,12231.4105
2000-10-30,12292.7905
2000-10-31,12292.7905
2000-11-01,12768.9805
2000-11-06,13065.9805
2000-11-09,13065.9805
2000-11-15,13065.9805
2000-11-28,13226.8555
2000-12-07,13325.8555
2000-12-11,13523.8555
2000-12-15,13523.8555
2000-12-20,13523.8555
2000-12-21,13719.776499999998
2001-01-16,13719.776499999998
2001-01-23,13954.901499999998
2001-01-28,14023.211499999998
2001-01-29,14270.711499999998
2001-02-06,14617.211499999998
2001-02-16,14617.211499999998
2001-02-21,14716.211499999998
2001-02-26,14716.211499999998
2001-03-08,14716.211499999998
2001-03-19,14716.211499999998
2001-03-22,14716.211499999998
2001-03-29,14808.776499999998
2001-04-03,14808.776499999998
2001-04-12,14808.776499999998
2001-04-13,14808.776499999998
2001-04-16,14808.776499999998
2001-04-17,14808.776499999998
2001-04-23,14808.776499999998
2001-05-09,14808.776499999998
2001-05-10,14861.345499999998
2001-05-11,14861.345499999998
2001-05-16,14861.345499999998
2001-05-21,15306.845499999998
2001-06-01,15306.845499999998
2001-06-12,15367.235499999997
2001-06-17,15589.985499999997
2001-06-28,15589.985499999997
2001-07-02,15589.985499999997
2001-07-05,15674.135499999997
2001-07-10,15674.135499999997
2001-07-19,15674.135499999997
2001-07-26,15674.135499999997
2001-08-05,15721.655499999997
2001-08-06,15721.655499999997
2001-08-07,15721.655499999997
2001-08-13,15721.655499999997
2001-08-15,15721.655499999997
2001-08-21,15820.655499999997
2001-08-22,15924.605499999998
2001-08-29,15924.605499999998
2001-09-10,15924.605499999998
2001-09-18,16053.305499999999
2001-09-24,16053.305499999999
2001-09-27,16281.0055
2001-10-10,16281.0055
2001-10-14,16399.8055
2001-11-05,16399.8055
2001-11-18,16421.585499999997
2001-11-21,16421.585499999997
2001-11-26,16421.585499999997
2001-12-07,16421.585499999997
2001-12-10,16421.585499999997
2001-12-17,16421.585499999997
2001-12-20,16421.585499999997
2001-12-26,16456.2355
2001-12-27,16797.3202
2002-01-16,16807.2202
2002-01-24,16945.8202
2002-01-28,16945.8202
2002-01-31,16945.8202
2002-02-07,16945.8202
2002-03-07,16945.8202
2002-03-21,16945.8202
2002-03-28,16945.8202
2002-04-10,16945.8202
2002-04-15,16945.8202
2002-04-23,16945.8202
2002-05-02,17114.120199999998
2002-05-07,17114.120199999998
2002-05-14,17179.460199999998
2002-05-17,17179.460199999998
2002-05-23,17179.460199999998
2002-06-06,17585.3602
2002-06-13,17585.3602
2002-06-20,17612.0902
2002-06-23,17612.0902
2002-06-27,17712.0802
2002-07-04,17761.5802
2002-07-16,17761.5802
2002-08-05,17761.5802
2002-08-19,17857.6102
2002-08-21,17857.6102
2002-08-27,17976.4102
2002-09-05,17976.4102
2002-09-06,17976.4102
2002-09-19,17976.4102
2002-09-23,17976.4102
2002-10-11,17976.4102
2002-10-18,17976.4102
2002-10-24,18343.7002
2002-10-27,18484.2802
2002-10-31,18583.2802
2002-11-01,18583.2802
2002-11-12,18583.2802
2002-11-14,18680.3002
2002-11-20,18680.3002
2002-11-21,18680.3002
2002-11-25,18762.4702
2002-11-27,18762.4702
2002-12-12,18762.4702
2002-12-17,18831.7702
